track_id,track_name,artists,emotion,valence,energy,tempo,mode,loudness,acousticness,danceability
feat_0014,Aaudai Jadai (Timro Nyano) - The Uglyz,,Angry,0.155,0.848,69.8,0,-17.91,0.742,0.2
feat_0015,Abhiman - Albatross (Barahsinghe Acoustic Sessions),,Angry,0.211,0.902,99.4,0,-17.38,0.688,0.366
feat_0019,Afnai Sansar Ma (FULL AUDIO) ｜ ALBATROSS,,Angry,0.344,1.0,129.2,0,-14.05,0.467,0.215
feat_0021,Akashaima Chil Udyo Live Cover - Jerusha & Shreya Rai,,Angry,0.389,0.672,161.5,0,-19.93,0.696,0.237
feat_0024,Alex Warren - PASSENGER (Official Video),,Angry,0.339,1.0,136.0,0,-10.58,0.428,0.177
feat_0027,An Tim - Byapari (prod. @vibyn ) ｜ Official Video,,Angry,0.251,0.843,89.1,0,-17.96,0.363,0.303
feat_0032,Asha Nirasha - Albatross (Barahsinghe Acoustic Sessions),,Angry,0.318,0.982,129.2,0,-16.64,0.577,0.294
feat_0045,"BAIGUNI - Official Video ｜Kehar Sing Limbu｜ Ft. Rekha limbu , Uttam Rai , Prasan Rai & Prem Subba",,Angry,0.211,1.0,92.3,0,-12.57,0.458,0.255
feat_0049,BISHESH - 21 FREEVERSE ｜ OFFICIAL MUSIC VIDEO ｜ 2026,,Angry,0.258,0.753,83.4,0,-18.94,0.344,0.36
feat_0060,Bhagyamaani - The Hulaki ( भाग्यमानी ) Ft ： @manish_gandharva,,Angry,0.068,0.872,64.6,0,-17.67,0.791,0.632
feat_0065,Bhool ｜ ALBATROSS,,Angry,0.373,1.0,143.6,0,-13.65,0.65,0.208
feat_0090,CHUMBAK ｜ SABAI SAKYO (LYRIC VIDEO),,Angry,0.197,1.0,86.1,0,-12.16,0.582,0.32
feat_0099,Chhewang Lama - Bhagyamaani 「Official MV」Prod by B2,,Angry,0.228,0.964,95.7,0,-16.8,0.629,0.361
feat_0104,Circus Police - Bharshammo (Official Lyric Video),,Angry,0.384,1.0,152.0,0,-14.81,0.529,0.191
feat_0110,"DJ Bishow - Aattinchey ft. Yabesh Thapa, VEK & Bizen (Official Music Video)",,Angry,0.25,1.0,99.4,0,-16.3,0.656,0.262
feat_0113,Dadaima Mela Lagecha ｜ The Sky Band ｜ Durgakazi Shakya ｜ Nepali Iconic Song ｜ Music Nepal Official,,Angry,0.333,1.0,107.7,0,-15.24,0.613,0.178
feat_0129,Euta Chhithi,,Angry,0.291,1.0,112.3,0,-15.9,0.565,0.225
feat_0133,Furfuri - Kuma Sagar,,Angry,0.354,1.0,152.0,0,-10.38,0.778,0.216
feat_0136,Gari Khana Deu II ｜ ALBATROSS,,Angry,0.231,1.0,89.1,0,-12.59,0.524,0.79
feat_0154,Hnam Ropuite U,,Angry,0.234,1.0,89.1,0,-15.23,0.505,0.196
feat_0158,Hugget som stucket,,Angry,0.257,1.0,103.4,0,-13.44,0.557,0.286
feat_0159,Hujan - Kotak Hati (Cover by gonebloom) Noh Salleh⧸ Noh Hujan,,Angry,0.297,0.781,129.2,0,-18.62,0.904,0.408
feat_0162,Ibtidaa,,Angry,0.37,0.944,143.6,0,-16.98,0.406,0.21
feat_0163,Intro - Ma Ra Malai ｜ ALBATROSS,,Angry,0.254,1.0,103.4,0,-15.75,0.476,0.52
